gene_symbol,ensembl_id,replogle:K562_essential_normalized_bulk,replogle:K562_essential_raw_bulk,replogle:K562_essential_raw_singlecell,replogle:K562_gwps_normalized_bulk,replogle:K562_gwps_raw_bulk,replogle:K562_gwps_raw_singlecell,replogle:rpe1_normalized_bulk,replogle:rpe1_raw_bulk,replogle:rpe1_raw_singlecell,lincs:level5_beta_ctl_n58022x12328,lincs:level5_beta_ctl_n58022x12328:landmark,lincs:level5_beta_trt_xpr_n142901x12328,lincs:level5_beta_trt_xpr_n142901x12328:landmark
TSPAN6,ENSG00000000003,False,False,False,False,False,False,True,True,True,True,True,True,True
SCYL3,ENSG00000000457,True,True,True,True,True,True,False,False,False,True,True,True,True
FUCA2,ENSG00000001036,True,True,True,True,True,True,True,True,True,False,False,False,False
BAD,ENSG00000002330,True,True,True,True,True,True,True,True,True,True,True,True,True
LAP3,ENSG00000002549,True,True,True,True,True,True,True,True,True,True,True,True,True
SNX11,ENSG00000002919,False,False,False,False,False,False,True,True,True,True,True,True,True
CASP10,ENSG00000003400,True,True,True,True,True,True,False,False,False,True,True,True,True
CFLAR,ENSG00000003402,True,True,True,True,True,True,True,True,True,True,True,True,True
FKBP4,ENSG00000004478,True,True,True,True,True,True,True,True,True,True,True,True,True
RBM6,ENSG00000004534,True,True,True,True,True,True,True,True,True,True,True,True,True
SLC25A13,ENSG00000004864,True,True,True,True,True,True,True,True,True,True,True,True,True
ST7,ENSG00000004866,True,True,True,True,True,True,True,True,True,True,True,True,True
UPF1,ENSG00000005007,True,True,True,True,True,True,True,True,True,True,False,True,False
CIAPIN1,ENSG00000005194,True,True,True,True,True,True,True,True,True,True,True,True,True
WDR54,ENSG00000005448,True,True,True,True,True,True,True,True,True,False,False,False,False
MYCBP2,ENSG00000005810,True,True,True,True,True,True,True,True,True,True,True,True,True
ITGAL,ENSG00000005844,False,False,False,False,False,False,False,False,False,True,False,True,False
TAC1,ENSG00000006128,False,False,False,False,False,False,False,False,False,True,False,True,False
RALA,ENSG00000006451,True,True,True,True,True,True,True,True,True,True,True,True,True
ETV1,ENSG00000006468,False,False,False,False,False,False,True,True,True,True,True,True,True
TBXA2R,ENSG00000006638,True,True,True,True,True,True,False,False,False,True,True,True,True
PAF1,ENSG00000006712,True,True,True,True,True,True,True,True,True,True,True,True,True
ELAC2,ENSG00000006744,True,True,True,True,True,True,True,True,True,True,True,True,True
ARSD,ENSG00000006756,False,False,False,False,False,False,False,False,False,True,False,True,False
MYH13,ENSG00000006788,False,False,False,False,False,False,False,False,False,True,False,True,False
PAFAH1B1,ENSG00000007168,True,True,True,True,True,True,True,True,True,True,True,True,True
KIAA0100,ENSG00000007202,True,True,True,True,True,True,True,True,True,True,True,True,True
TRAPPC6A,ENSG00000007255,True,True,True,True,True,True,False,False,False,True,True,True,True
E2F2,ENSG00000007968,True,True,True,True,True,True,False,False,False,True,True,True,True
PSMB1,ENSG00000008018,True,True,True,True,True,True,True,True,True,True,False,True,False
SYPL1,ENSG00000008282,True,True,True,True,True,True,True,True,True,True,True,True,True
CYB561,ENSG00000008283,True,True,True,True,True,True,True,True,True,True,True,True,True
RHOBTB2,ENSG00000008853,False,False,False,False,False,False,False,False,False,True,False,True,False
UBE3C,ENSG00000009335,True,True,True,True,True,True,True,True,True,True,True,True,True
TENM1,ENSG00000009694,False,False,False,False,False,False,False,False,False,True,False,True,False
NCAPD2,ENSG00000010292,True,True,True,True,True,True,True,True,True,True,True,True,True
SEMA3G,ENSG00000010319,False,False,False,False,False,False,False,False,False,True,False,True,False
NISCH,ENSG00000010322,True,True,True,True,True,True,True,True,True,True,True,True,True
BTK,ENSG00000010671,True,True,True,True,True,True,False,False,False,True,True,True,True
FYN,ENSG00000010810,True,True,True,True,True,True,True,True,True,True,True,True,True
FMO1,ENSG00000010932,False,False,False,False,False,False,False,False,False,True,False,True,False
MKS1,ENSG00000011143,True,True,True,True,True,True,False,False,False,True,False,True,False
AKAP8L,ENSG00000011243,True,True,True,True,True,True,True,True,True,True,True,True,True
SYT7,ENSG00000011347,False,False,False,False,False,False,False,False,False,False,False,False,False
BRCA1,ENSG00000012048,True,True,True,True,True,True,True,True,True,True,True,True,True
LTF,ENSG00000012223,False,False,False,False,False,False,False,False,False,True,False,True,False
UBR7,ENSG00000012963,True,True,True,True,True,True,True,True,True,True,True,True,True
MAP4K5,ENSG00000012983,True,True,True,True,True,True,True,True,True,True,False,True,False
MVP,ENSG00000013364,False,False,False,False,False,False,True,True,True,True,True,True,True
HEBP1,ENSG00000013583,False,False,False,False,False,False,True,True,True,True,True,True,True
MAMLD1,ENSG00000013619,False,False,False,False,False,False,False,False,False,True,True,True,True
CD6,ENSG00000013725,False,False,False,False,False,False,False,False,False,True,False,True,False
CAPN1,ENSG00000014216,True,True,True,True,True,True,True,True,True,True,True,True,True
BID,ENSG00000015475,True,True,True,True,True,True,True,True,True,True,True,True,True
NUDCD3,ENSG00000015676,True,True,True,True,True,True,True,True,True,True,True,True,True
ATP2C1,ENSG00000017260,True,True,True,True,True,True,True,True,True,True,True,True,True
MNAT1,ENSG00000020426,True,True,True,True,True,True,True,True,True,True,True,True,True
SLC7A9,ENSG00000021488,False,False,False,False,False,False,False,False,False,True,False,True,False
ZDHHC6,ENSG00000023041,True,True,True,True,True,True,True,True,True,True,True,True,True
RNH1,ENSG00000023191,True,True,True,True,True,True,True,True,True,True,True,True,True
ALAS1,ENSG00000023330,True,True,True,True,True,True,True,True,True,True,True,True,True
DERA,ENSG00000023697,True,True,True,True,True,True,True,True,True,True,True,True,True
TOMM34,ENSG00000025772,True,True,True,True,True,True,True,True,True,True,True,True,True
FAS,ENSG00000026103,False,False,False,False,False,False,True,True,True,True,True,True,True
CD44,ENSG00000026508,False,False,False,False,False,False,True,True,True,True,True,True,True
PRKCH,ENSG00000027075,False,False,False,False,False,False,False,False,False,True,True,True,True
SH2D2A,ENSG00000027869,False,False,False,False,False,False,False,False,False,True,False,True,False
TBPL1,ENSG00000028839,True,True,True,True,True,True,True,True,True,True,True,True,True
