target_gene,replogle:K562_essential_normalized_bulk,replogle:K562_essential_raw_bulk,replogle:K562_essential_raw_singlecell,replogle:K562_gwps_normalized_bulk,replogle:K562_gwps_raw_bulk,replogle:K562_gwps_raw_singlecell,replogle:rpe1_normalized_bulk,replogle:rpe1_raw_bulk,replogle:rpe1_raw_singlecell,lincs:level5_beta_ctl_n58022x12328,lincs:level5_beta_ctl_n58022x12328:n_cell_lines,lincs:level5_beta_trt_xpr_n142901x12328,lincs:level5_beta_trt_xpr_n142901x12328:n_cell_lines,gmt:l1000_xpr
ACLY,False,False,False,True,True,True,False,False,False,False,0,True,19,True
ADNP,False,False,False,True,True,True,False,False,False,False,0,False,0,False
AKIRIN1,False,False,False,True,True,True,False,False,False,False,0,False,0,False
ANKZF1,False,False,False,True,True,True,False,False,False,False,0,False,0,False
BRPF1,False,False,False,True,True,True,False,False,False,False,0,False,0,False
CDK8,False,False,False,True,True,True,False,False,False,False,0,True,10,True
DRG2,False,False,False,True,True,True,False,False,False,False,0,False,0,False
GIGYF2,False,False,False,True,True,True,False,False,False,False,0,True,10,True
HMGN4,False,False,False,True,True,True,False,False,False,False,0,False,0,False
HMGXB3,False,False,False,True,True,True,False,False,False,False,0,False,0,False
MLKL,False,False,False,False,False,False,False,False,False,False,0,True,10,True
NFE2L1,False,False,False,True,True,True,False,False,False,False,0,True,10,True
PKN3,False,False,False,True,True,True,False,False,False,False,0,True,10,True
PLAGL2,False,False,False,True,True,True,False,False,False,False,0,True,9,True
POLD4,False,False,False,True,True,True,False,False,False,False,0,False,0,False
RBM26,False,False,False,True,True,True,False,False,False,False,0,False,0,False
REV1,False,False,False,True,True,True,False,False,False,False,0,False,0,False
SCAF8,False,False,False,True,True,True,False,False,False,False,0,False,0,False
SLIRP,False,False,False,True,True,True,False,False,False,False,0,False,0,False
TAF4,False,False,False,False,False,False,False,False,False,False,0,False,0,False
TDRD7,False,False,False,False,False,False,False,False,False,False,0,False,0,False
TFCP2,False,False,False,True,True,True,False,False,False,False,0,False,0,False
TMEM147,False,False,False,True,True,True,False,False,False,False,0,False,0,False
TMF1,False,False,False,True,True,True,False,False,False,False,0,True,10,True
UPF3B,False,False,False,True,True,True,False,False,False,False,0,False,0,False
ZDHHC12,False,False,False,True,True,True,False,False,False,False,0,False,0,False
ZNF25,False,False,False,True,True,True,False,False,False,False,0,False,0,False
ZNF514,False,False,False,True,True,True,False,False,False,False,0,False,0,False
ZNF530,False,False,False,True,True,True,False,False,False,False,0,False,0,False
ZNF740,False,False,False,True,True,True,False,False,False,False,0,False,0,False
