gene_symbol,ensembl_id,challenge_idx,lincs_entrez,lincs_feature_space,split
TSPAN6,ENSG00000000003,0,7105,landmark,panel
SCYL3,ENSG00000000457,1,57147,landmark,panel
FUCA2,ENSG00000001036,2,,,rest
BAD,ENSG00000002330,3,572,landmark,panel
LAP3,ENSG00000002549,4,51056,landmark,panel
SNX11,ENSG00000002919,5,29916,landmark,panel
CASP10,ENSG00000003400,6,843,landmark,panel
CFLAR,ENSG00000003402,7,8837,landmark,panel
FKBP4,ENSG00000004478,8,2288,landmark,panel
RBM6,ENSG00000004534,9,10180,landmark,panel
SLC25A13,ENSG00000004864,10,10165,landmark,panel
ST7,ENSG00000004866,11,7982,landmark,panel
UPF1,ENSG00000005007,12,5976,best inferred,rest
CIAPIN1,ENSG00000005194,13,57019,landmark,panel
WDR54,ENSG00000005448,14,,,rest
MYCBP2,ENSG00000005810,15,23077,landmark,panel
ITGAL,ENSG00000005844,16,3683,best inferred,rest
TAC1,ENSG00000006128,17,6863,best inferred,rest
RALA,ENSG00000006451,18,5898,landmark,panel
ETV1,ENSG00000006468,19,2115,landmark,panel
TBXA2R,ENSG00000006638,20,6915,landmark,panel
PAF1,ENSG00000006712,21,54623,landmark,panel
ELAC2,ENSG00000006744,22,60528,landmark,panel
ARSD,ENSG00000006756,23,414,best inferred,rest
MYH13,ENSG00000006788,24,8735,inferred,rest
PAFAH1B1,ENSG00000007168,25,5048,landmark,panel
KIAA0100,ENSG00000007202,26,9703,landmark,panel
TRAPPC6A,ENSG00000007255,27,79090,landmark,panel
E2F2,ENSG00000007968,28,1870,landmark,panel
PSMB1,ENSG00000008018,29,5689,best inferred,rest
SYPL1,ENSG00000008282,30,6856,landmark,panel
CYB561,ENSG00000008283,31,1534,landmark,panel
RHOBTB2,ENSG00000008853,32,23221,best inferred,rest
UBE3C,ENSG00000009335,33,9690,landmark,panel
TENM1,ENSG00000009694,34,10178,inferred,rest
NCAPD2,ENSG00000010292,35,9918,landmark,panel
SEMA3G,ENSG00000010319,36,56920,best inferred,rest
NISCH,ENSG00000010322,37,11188,landmark,panel
BTK,ENSG00000010671,38,695,landmark,panel
FYN,ENSG00000010810,39,2534,landmark,panel
FMO1,ENSG00000010932,40,2326,best inferred,rest
MKS1,ENSG00000011143,41,54903,best inferred,rest
AKAP8L,ENSG00000011243,42,26993,landmark,panel
SYT7,ENSG00000011347,43,,,rest
BRCA1,ENSG00000012048,44,672,landmark,panel
LTF,ENSG00000012223,45,4057,best inferred,rest
UBR7,ENSG00000012963,46,55148,landmark,panel
MAP4K5,ENSG00000012983,47,11183,best inferred,rest
MVP,ENSG00000013364,48,9961,landmark,panel
HEBP1,ENSG00000013583,49,50865,landmark,panel
MAMLD1,ENSG00000013619,50,10046,landmark,panel
CD6,ENSG00000013725,51,923,best inferred,rest
CAPN1,ENSG00000014216,52,823,landmark,panel
BID,ENSG00000015475,53,637,landmark,panel
NUDCD3,ENSG00000015676,54,23386,landmark,panel
ATP2C1,ENSG00000017260,55,27032,landmark,panel
MNAT1,ENSG00000020426,56,4331,landmark,panel
SLC7A9,ENSG00000021488,57,11136,inferred,rest
ZDHHC6,ENSG00000023041,58,64429,landmark,panel
RNH1,ENSG00000023191,59,6050,landmark,panel
ALAS1,ENSG00000023330,60,211,landmark,panel
DERA,ENSG00000023697,61,51071,landmark,panel
TOMM34,ENSG00000025772,62,10953,landmark,panel
FAS,ENSG00000026103,63,355,landmark,panel
CD44,ENSG00000026508,64,960,landmark,panel
PRKCH,ENSG00000027075,65,5583,landmark,panel
SH2D2A,ENSG00000027869,66,9047,best inferred,rest
TBPL1,ENSG00000028839,67,9519,landmark,panel
RABEP1,ENSG00000029725,68,9135,best inferred,rest
GRN,ENSG00000030582,69,2896,landmark,panel
APBA2,ENSG00000034053,70,321,best inferred,rest
NSMAF,ENSG00000035681,71,8439,best inferred,rest
TIMP2,ENSG00000035862,72,7077,landmark,panel
OTC,ENSG00000036473,73,5009,inferred,rest
RIPOR1,ENSG00000039523,74,79567,best inferred,rest
RAI14,ENSG00000039560,75,26064,landmark,panel
JADE2,ENSG00000043143,76,23338,landmark,panel
EPHA3,ENSG00000044524,77,2042,landmark,panel
DSG2,ENSG00000046604,78,1829,landmark,panel
CELF2,ENSG00000048740,79,10659,best inferred,rest
RFC2,ENSG00000049541,80,5982,landmark,panel
MCUR1,ENSG00000050393,81,63933,landmark,panel
MAPK9,ENSG00000050748,82,5601,landmark,panel
HERPUD1,ENSG00000051108,83,9709,landmark,panel
PIK3CB,ENSG00000051382,84,5291,best inferred,rest
RRP12,ENSG00000052749,85,23223,landmark,panel
AKR7A2,ENSG00000053371,86,8574,landmark,panel
LAMA3,ENSG00000053747,87,3909,landmark,panel
TRAPPC3,ENSG00000054116,88,27095,landmark,panel
THRAP3,ENSG00000054118,89,9967,best inferred,rest
ARID4B,ENSG00000054267,90,51742,landmark,panel
SYNE2,ENSG00000054654,91,23224,landmark,panel
DCBLD2,ENSG00000057019,92,131566,best inferred,rest
SERPINB3,ENSG00000057149,93,6317,best inferred,rest
PKP2,ENSG00000057294,94,5318,best inferred,rest
ATP11B,ENSG00000058063,95,23200,landmark,panel
PPP1R12A,ENSG00000058272,96,4659,best inferred,rest
ATP2B4,ENSG00000058668,97,493,best inferred,rest
TARBP1,ENSG00000059588,98,6894,landmark,panel
SLC2A3,ENSG00000059804,99,6515,best inferred,rest
STYK1,ENSG00000060140,100,55359,best inferred,rest
GNA15,ENSG00000060558,101,2769,landmark,panel
ACAA1,ENSG00000060971,102,30,landmark,panel
SPAG4,ENSG00000061656,103,6676,landmark,panel
GUCY1B1,ENSG00000061918,104,2983,best inferred,rest
CDH3,ENSG00000062038,105,1001,landmark,panel
DGAT2,ENSG00000062282,106,,,rest
APPBP2,ENSG00000062725,107,10513,landmark,panel
