gene_symbol,challenge_idx,source_col,split,ctrl_mean,ctrl_std
SCYL3,1,101,panel,0.07191668,0.20984411
FUCA2,2,400,rest,0.43403462,0.4444495
BAD,3,621,panel,0.16493429,0.3051539
LAP3,4,273,panel,0.3690117,0.43107656
CASP10,6,179,panel,0.08973723,0.23761758
CFLAR,7,178,panel,0.4272938,0.47362724
FKBP4,8,656,panel,0.71228975,0.54154176
RBM6,9,215,panel,0.44802743,0.46130523
SLC25A13,10,437,panel,0.22635137,0.35917148
ST7,11,450,panel,0.14123882,0.29387248
UPF1,12,996,rest,0.241934,0.36731905
CIAPIN1,13,860,panel,0.3403691,0.41774073
WDR54,14,155,rest,0.077384174,0.21705732
MYCBP2,15,723,panel,0.70774597,0.526966
RALA,18,422,panel,0.50905544,0.48479113
TBXA2R,20,968,panel,0.09827786,0.25266245
PAF1,21,1009,panel,0.14284258,0.28739613
ELAC2,22,895,panel,0.22290531,0.35710314
PAFAH1B1,25,883,panel,0.37042692,0.42683023
KIAA0100,26,903,panel,0.26331347,0.3741846
TRAPPC6A,27,1015,panel,0.4699438,0.48579443
E2F2,28,13,panel,0.08205018,0.2286223
PSMB1,29,408,rest,1.6811582,0.5387487
SYPL1,30,445,panel,0.39958158,0.44245696
CYB561,31,934,panel,0.07859135,0.22718292
UBE3C,33,464,panel,0.20625536,0.34586167
NCAPD2,35,660,panel,0.22656702,0.36073095
NISCH,37,223,panel,0.102667175,0.25830603
BTK,38,1111,panel,0.356341,0.4322007
FYN,39,394,panel,0.11760615,0.2789402
MKS1,41,928,rest,0.08957595,0.2280262
AKAP8L,42,991,panel,0.38645923,0.4567693
BRCA1,44,920,panel,0.4967826,0.4959656
UBR7,46,776,panel,0.14135687,0.30284277
MAP4K5,47,756,rest,0.15640245,0.30386946
CAPN1,52,623,panel,0.36020082,0.42074367
BID,53,1075,panel,0.6110784,0.5123625
NUDCD3,54,425,panel,0.14337493,0.28247693
ATP2C1,55,242,panel,0.1593671,0.30628508
MNAT1,56,765,panel,0.24071003,0.36422092
ZDHHC6,58,594,panel,0.123925254,0.27623263
RNH1,59,599,panel,0.28556713,0.38861525
ALAS1,60,221,panel,0.18021052,0.32825628
DERA,61,666,panel,0.17476518,0.32941067
TOMM34,62,1051,panel,0.19770469,0.3398004
TBPL1,67,399,panel,0.4246795,0.45841926
RABEP1,68,889,rest,0.22121197,0.365195
GRN,69,922,panel,0.37287325,0.43052727
APBA2,70,785,rest,0.083576865,0.22309276
NSMAF,71,487,rest,0.34419543,0.4270832
RAI14,75,308,panel,0.21648367,0.34446988
DSG2,78,956,panel,0.36024314,0.42913195
CELF2,79,555,rest,0.9968647,0.5755735
RFC2,80,429,panel,0.46387175,0.48286015
MCUR1,81,355,panel,0.5357996,0.47979894
MAPK9,82,347,panel,0.18043642,0.3368204
HERPUD1,83,859,panel,0.25358728,0.39623174
PIK3CB,84,247,rest,0.30417618,0.4026225
RRP12,85,587,panel,0.15813813,0.31064603
AKR7A2,86,12,panel,0.36760098,0.4292631
TRAPPC3,88,25,panel,0.7343882,0.53887683
THRAP3,89,26,rest,1.2251583,0.54703313
ARID4B,90,128,panel,0.54255015,0.50866187
DCBLD2,92,231,rest,0.12113685,0.2798696
ATP11B,95,261,panel,0.3550875,0.4417801
