gene_symbol,challenge_idx,source_col,split,ctrl_mean,ctrl_std
TSPAN6,0,1224,panel,0.1232887,0.25786522
FUCA2,2,439,rest,0.5691602,0.47214878
BAD,3,699,panel,0.5240506,0.44721925
LAP3,4,292,panel,0.19791709,0.31948864
SNX11,5,1036,panel,0.061448343,0.18743356
CFLAR,7,181,panel,0.16022025,0.3028336
FKBP4,8,736,panel,0.6172753,0.49959862
RBM6,9,225,panel,0.2441964,0.35864627
SLC25A13,10,486,panel,0.11879349,0.25998127
ST7,11,500,panel,0.086289145,0.22388768
UPF1,12,1106,rest,0.15698364,0.29475987
CIAPIN1,13,961,panel,0.27523896,0.37134558
WDR54,14,154,rest,0.51033217,0.45609578
MYCBP2,15,812,panel,0.42486653,0.43633974
RALA,18,465,panel,0.6187912,0.47987735
ETV1,19,455,panel,0.17676404,0.3247513
PAF1,21,1119,panel,0.2764989,0.37320912
ELAC2,22,1005,panel,0.22217475,0.33445233
PAFAH1B1,25,989,panel,0.721259,0.4886356
KIAA0100,26,1012,panel,0.23638746,0.34235415
PSMB1,29,447,rest,1.5726744,0.42935392
SYPL1,30,495,panel,0.5568381,0.4658973
CYB561,31,1044,panel,0.08866057,0.22642913
UBE3C,33,516,panel,0.22527066,0.34351066
NCAPD2,35,740,panel,0.571624,0.5365464
NISCH,37,233,panel,0.05453442,0.17598742
FYN,39,432,panel,0.28280532,0.37374482
AKAP8L,42,1101,panel,0.17683482,0.30899775
BRCA1,44,1029,panel,0.41725248,0.47070223
UBR7,46,870,panel,0.16280401,0.30582172
MAP4K5,47,844,rest,0.4389318,0.44192398
MVP,48,949,panel,0.32351854,0.39308745
HEBP1,49,746,panel,0.6142736,0.49113008
CAPN1,52,701,panel,0.33437186,0.40109572
BID,53,1186,panel,0.31664738,0.39686993
NUDCD3,54,469,panel,0.18923487,0.3241035
ATP2C1,55,259,panel,0.3388304,0.39815727
MNAT1,56,856,panel,0.35189372,0.40091124
ZDHHC6,58,664,panel,0.27404267,0.3758384
RNH1,59,673,panel,0.8225463,0.5118764
ALAS1,60,231,panel,0.11699742,0.25983027
DERA,61,747,panel,0.5661581,0.49023682
TOMM34,62,1155,panel,0.4434593,0.43565708
FAS,63,650,panel,0.17069376,0.3101998
CD44,64,686,panel,1.5989876,0.4533496
TBPL1,67,438,panel,0.20319149,0.32898727
RABEP1,68,995,rest,0.41496637,0.43489072
GRN,69,1031,panel,0.41345817,0.43301073
APBA2,70,882,rest,0.058641292,0.18908834
NSMAF,71,543,rest,0.122636095,0.26131523
TIMP2,72,1051,panel,0.76644456,0.5113208
RIPOR1,74,964,rest,0.1860032,0.3156959
RAI14,75,337,panel,1.0506195,0.54067224
JADE2,76,364,panel,0.11443916,0.26025912
DSG2,78,1065,panel,0.53752166,0.48727903
RFC2,80,475,panel,0.38334766,0.43301865
MCUR1,81,394,panel,0.4754226,0.4446601
MAPK9,82,384,panel,0.23568206,0.34372586
HERPUD1,83,960,panel,0.2954311,0.40078485
PIK3CB,84,264,rest,0.14866926,0.28999075
RRP12,85,656,panel,0.18187894,0.3124045
AKR7A2,86,11,panel,0.5620976,0.48568514
TRAPPC3,88,24,panel,0.5306588,0.45119804
THRAP3,89,25,rest,1.0310068,0.52661663
ARID4B,90,125,panel,0.4118996,0.44204143
SYNE2,91,859,panel,0.59129035,0.5449654
DCBLD2,92,244,rest,2.012245,0.4553553
PKP2,94,755,rest,0.080443956,0.21926379
ATP11B,95,278,panel,0.17848875,0.30871344
PPP1R12A,96,775,rest,0.7071134,0.526044
ATP2B4,97,107,rest,0.47798908,0.46491554
TARBP1,98,124,panel,0.09266739,0.23226978
SLC2A3,99,744,rest,0.06628539,0.19945957
ACAA1,102,212,panel,0.22998363,0.33982584
SPAG4,103,1148,panel,0.071266145,0.20901936
APPBP2,107,1042,panel,0.20653868,0.32701966
GPC1,108,198,panel,0.17861958,0.3059801
HMG20B,110,1079,panel,0.40464425,0.4221753
TAF11,111,409,rest,0.22827594,0.34726605
AP3D1,112,1075,rest,0.49564373,0.45441273
TRAM2,113,421,panel,0.5365478,0.48227948
DGKA,114,763,rest,0.1116969,0.24806367
ADAT1,116,975,panel,0.12222425,0.2644312
SPEN,118,8,panel,0.42015684,0.44633222
MYLK,119,251,panel,0.7583205,0.54628545
MTHFD2,121,153,panel,0.40136927,0.42982984
PPP2R5A,122,111,panel,0.110203214,0.25368646
ELAVL1,123,1083,panel,0.50847834,0.4475955
KDM4A,124,35,rest,0.100802734,0.2395797
ISOC1,127,358,panel,0.07511385,0.21535273
ATG2B,128,871,rest,0.093649805,0.22806299
MTFR1,129,544,panel,0.14654902,0.28830928
PLPP1,130,344,rest,0.058993787,0.18382573
DHX29,132,343,panel,0.5552605,0.45690158
DNTTIP2,133,61,panel,0.60054153,0.4792843
TP53BP1,134,888,panel,0.31584495,0.3906399
RHOA,135,222,panel,1.54524,0.46545696
IARS2,136,115,panel,0.5149401,0.47706184
HEATR6,137,1041,rest,0.08242885,0.21978557
COASY,138,1026,panel,0.2103287,0.3314019
TFE3,139,1216,rest,0.12784177,0.2688175
FTSJ1,140,1213,rest,0.23703086,0.35867798
NUP133,141,122,panel,0.14470214,0.28409407
GNB5,143,893,panel,0.18593279,0.31216094
RAB27A,144,895,panel,0.25089473,0.36630082
ELP1,146,597,panel,0.11961585,0.2593963
NUCB2,147,682,panel,0.57948846,0.48420694
JMJD6,148,1049,panel,0.12495698,0.27195448
POLB,149,539,panel,0.12814452,0.26815337
CSNK2A2,151,962,panel,0.34070137,0.4044806
TCOF1,152,375,rest,0.31889457,0.40169343
NCK2,153,163,panel,0.08270624,0.22277711
MAP4K4,154,160,panel,0.9037008,0.5349588
SNX13,155,457,panel,0.18039997,0.3200978
PDCD2,156,449,rest,0.59314644,0.48093784
PRKACA,157,1097,panel,0.18627417,0.32452914
EPN2,159,1008,panel,0.13273682,0.27793223
SMC1A,160,1219,panel,0.63409317,0.50947696
HSD17B10,161,1220,panel,0.46682817,0.44456956
P4HA2,162,360,panel,0.37683332,0.4149331
NFATC3,163,969,panel,0.053796433,0.17933095
STK10,164,377,panel,0.06362751,0.19851802
SCARB1,166,794,panel,0.08178552,0.21446949
KDM5A,167,735,panel,0.66013277,0.49810892
FERMT2,168,848,rest,0.47439623,0.45285034
IGF2BP2,171,284,panel,0.37266117,0.4062957
EED,173,716,panel,0.11899472,0.2633684
BCS1L,174,189,rest,0.13856727,0.27803916
HACD3,175,902,panel,0.69225454,0.49349523
TUBE1,176,433,rest,0.047641687,0.16600174
TIPIN,177,903,rest,0.20303175,0.34182146
FOSL2,178,137,rest,0.21857594,0.35074818
RAB7A,180,256,rest,0.7929894,0.4962263
ICAM3,181,1089,panel,0.12743564,0.27617344
TM9SF3,184,654,panel,1.1351069,0.5205085
NFKB2,185,659,panel,0.06701183,0.20186287
IL4R,186,947,panel,0.06272363,0.18790793
USP33,187,56,rest,0.3215664,0.40863404
UBE2A,188,1231,panel,0.5481978,0.4680868
FGFR1,189,536,rest,0.3534824,0.4213943
PIK3C3,190,1067,panel,0.22653233,0.3405924
N4BP2,191,299,rest,0.07661389,0.2102738
EDN1,193,392,panel,0.06673792,0.23620595
MLLT10,194,625,rest,0.12450351,0.2665859
PCM1,196,521,panel,0.69788945,0.53610593
ITCH,197,1147,rest,0.22156954,0.34494126
XRCC5,198,186,rest,1.8178426,0.4618497
MKNK1,199,45,panel,0.09122455,0.22762766
FDFT1,200,520,panel,0.26081732,0.35759395
PAFAH1B3,201,1122,panel,0.5794024,0.45581815
CARMIL1,202,397,panel,0.07137328,0.203712
PGM1,203,53,panel,0.35488063,0.4150666
EPB41L2,204,437,panel,0.3583427,0.42476788
KEAP1,205,1090,panel,0.21488564,0.33756572
RAB21,206,774,panel,0.32514462,0.38858378
SESN1,207,430,panel,0.03528366,0.14427459
CNOT4,208,505,panel,0.1923671,0.31001383
MOK,209,874,panel,0.38453057,0.4243069
AACS,213,795,rest,0.08373263,0.21979813
ME2,216,1068,panel,0.23198403,0.34751904
NFE2L1,217,1035,rest,0.44523227,0.4418096
ITGB5,218,253,panel,0.73132384,0.50671226
PALB2,219,944,rest,0.09243096,0.22736794
KAT6A,220,537,panel,0.222068,0.34202692
PLOD1,221,7,rest,0.34019822,0.40697345
OXCT1,222,338,panel,0.36506164,0.40800023
FAT1,224,332,panel,0.55173206,0.48150817
PPIE,225,30,panel,0.24459931,0.3576442
TXLNA,227,22,panel,0.32424337,0.3876488
MECOM,229,274,rest,0.15683773,0.29429343
MAP3K4,230,446,panel,0.1901236,0.31441236
AKR1B1,232,504,rest,0.6608226,0.4830932
CPNE3,233,549,panel,0.66856056,0.49556023
RRN3,234,939,rest,0.1451397,0.28059444
CTTN,235,710,panel,0.7648138,0.48770598
ORC1,236,48,panel,0.06797537,0.20185132
CHERP,237,1102,panel,0.12423527,0.25942552
MAST2,238,42,panel,0.08858672,0.22566633
CHMP5,239,582,rest,0.5276527,0.4657159
ZW10,241,725,panel,0.15760118,0.292336
SRRT,242,490,rest,0.46121398,0.46854806
BAX,243,1128,panel,0.9015777,0.52982134
PIGS,244,1011,rest,0.15536258,0.29588434
MMP2,245,958,panel,1.4217136,0.5086474
NID2,246,846,rest,0.24649003,0.36391035
DNM1L,247,754,panel,0.5729146,0.4776861
ERGIC2,248,752,rest,0.8712297,0.5273778
AURKA,249,1161,panel,0.45831156,0.6031276
