gene_symbol,challenge_idx,split
TSPAN6,0,panel
SCYL3,1,panel
FUCA2,2,rest
BAD,3,panel
LAP3,4,panel
SNX11,5,panel
CASP10,6,panel
CFLAR,7,panel
FKBP4,8,panel
RBM6,9,panel
SLC25A13,10,panel
ST7,11,panel
UPF1,12,rest
CIAPIN1,13,panel
WDR54,14,rest
MYCBP2,15,panel
ITGAL,16,rest
TAC1,17,rest
RALA,18,panel
ETV1,19,panel
TBXA2R,20,panel
PAF1,21,panel
ELAC2,22,panel
ARSD,23,rest
MYH13,24,rest
PAFAH1B1,25,panel
KIAA0100,26,panel
TRAPPC6A,27,panel
E2F2,28,panel
PSMB1,29,rest
SYPL1,30,panel
CYB561,31,panel
RHOBTB2,32,rest
UBE3C,33,panel
TENM1,34,rest
NCAPD2,35,panel
SEMA3G,36,rest
NISCH,37,panel
BTK,38,panel
FYN,39,panel
FMO1,40,rest
MKS1,41,rest
AKAP8L,42,panel
SYT7,43,rest
BRCA1,44,panel
LTF,45,rest
UBR7,46,panel
MAP4K5,47,rest
MVP,48,panel
HEBP1,49,panel
MAMLD1,50,panel
CD6,51,rest
CAPN1,52,panel
BID,53,panel
NUDCD3,54,panel
ATP2C1,55,panel
MNAT1,56,panel
SLC7A9,57,rest
ZDHHC6,58,panel
RNH1,59,panel
ALAS1,60,panel
DERA,61,panel
TOMM34,62,panel
FAS,63,panel
CD44,64,panel
PRKCH,65,panel
SH2D2A,66,rest
TBPL1,67,panel
RABEP1,68,rest
GRN,69,panel
APBA2,70,rest
NSMAF,71,rest
TIMP2,72,panel
OTC,73,rest
RIPOR1,74,rest
RAI14,75,panel
JADE2,76,panel
EPHA3,77,panel
DSG2,78,panel
CELF2,79,rest
RFC2,80,panel
MCUR1,81,panel
MAPK9,82,panel
HERPUD1,83,panel
PIK3CB,84,rest
RRP12,85,panel
AKR7A2,86,panel
LAMA3,87,panel
TRAPPC3,88,panel
THRAP3,89,rest
ARID4B,90,panel
SYNE2,91,panel
DCBLD2,92,rest
SERPINB3,93,rest
PKP2,94,rest
ATP11B,95,panel
PPP1R12A,96,rest
ATP2B4,97,rest
TARBP1,98,panel
SLC2A3,99,rest
STYK1,100,rest
GNA15,101,panel
ACAA1,102,panel
SPAG4,103,panel
GUCY1B1,104,rest
CDH3,105,panel
DGAT2,106,rest
APPBP2,107,panel
GPC1,108,panel
LPAR2,109,panel
HMG20B,110,panel
TAF11,111,rest
AP3D1,112,rest
TRAM2,113,panel
DGKA,114,rest
ERBB3,115,panel
ADAT1,116,panel
PDIA5,117,panel
SPEN,118,panel
MYLK,119,panel
PRKCQ,120,panel
MTHFD2,121,panel
PPP2R5A,122,panel
ELAVL1,123,panel
KDM4A,124,rest
ZMYND12,125,rest
FGFR2,126,panel
ISOC1,127,panel
ATG2B,128,rest
MTFR1,129,panel
PLPP1,130,rest
PHKA1,131,panel
DHX29,132,panel
DNTTIP2,133,panel
TP53BP1,134,panel
RHOA,135,panel
IARS2,136,panel
HEATR6,137,rest
COASY,138,panel
TFE3,139,rest
FTSJ1,140,rest
NUP133,141,panel
PIGB,142,panel
GNB5,143,panel
RAB27A,144,panel
SCT,145,rest
ELP1,146,panel
NUCB2,147,panel
JMJD6,148,panel
POLB,149,panel
ST6GALNAC2,150,panel
CSNK2A2,151,panel
TCOF1,152,rest
NCK2,153,panel
MAP4K4,154,panel
SNX13,155,panel
PDCD2,156,rest
PRKACA,157,panel
ADGRL1,158,rest
EPN2,159,panel
SMC1A,160,panel
HSD17B10,161,panel
P4HA2,162,panel
NFATC3,163,panel
STK10,164,panel
MRVI1,165,rest
SCARB1,166,panel
KDM5A,167,panel
FERMT2,168,rest
CD5L,169,rest
PTGS2,170,panel
IGF2BP2,171,panel
GLI2,172,panel
EED,173,panel
BCS1L,174,rest
HACD3,175,panel
TUBE1,176,rest
TIPIN,177,rest
FOSL2,178,rest
CACNG5,179,rest
RAB7A,180,rest
ICAM3,181,panel
RAP1GAP,182,panel
STXBP2,183,panel
TM9SF3,184,panel
NFKB2,185,panel
IL4R,186,panel
USP33,187,rest
UBE2A,188,panel
FGFR1,189,rest
PIK3C3,190,panel
N4BP2,191,rest
ADCY2,192,rest
EDN1,193,panel
MLLT10,194,rest
P2RY10,195,rest
PCM1,196,panel
ITCH,197,rest
XRCC5,198,rest
MKNK1,199,panel
FDFT1,200,panel
PAFAH1B3,201,panel
CARMIL1,202,panel
PGM1,203,panel
EPB41L2,204,panel
KEAP1,205,panel
RAB21,206,panel
SESN1,207,panel
CNOT4,208,panel
MOK,209,panel
CXCL2,210,panel
MEF2C,211,panel
PTPRC,212,panel
AACS,213,rest
PCDHA6,214,rest
IL12RB2,215,rest
ME2,216,panel
NFE2L1,217,rest
ITGB5,218,panel
PALB2,219,rest
KAT6A,220,panel
PLOD1,221,rest
OXCT1,222,panel
ZNF586,223,panel
FAT1,224,panel
PPIE,225,panel
FAM234B,226,rest
TXLNA,227,panel
GCKR,228,rest
MECOM,229,rest
MAP3K4,230,panel
PILRA,231,rest
AKR1B1,232,rest
CPNE3,233,panel
RRN3,234,rest
CTTN,235,panel
ORC1,236,panel
CHERP,237,panel
MAST2,238,panel
CHMP5,239,rest
ITPKC,240,rest
ZW10,241,panel
SRRT,242,rest
BAX,243,panel
PIGS,244,rest
MMP2,245,panel
NID2,246,rest
DNM1L,247,panel
ERGIC2,248,rest
AURKA,249,panel
GNA11,250,panel
ANKRD10,251,panel
PPP1R13B,252,panel
MAPKAPK5,253,panel
SLC23A2,254,rest
DZANK1,255,rest
LHX5,256,rest
PXN,257,panel
RPH3A,258,rest
IGBP1,259,rest
BIRC5,260,panel
ICAM1,261,panel
MCOLN1,262,panel
AARS,263,panel
DLD,264,panel
WDR7,265,panel
SPAG7,266,panel
PSME1,267,panel
PPP2R3C,268,panel
TGM1,269,rest
PHGDH,270,panel
