context,target_gene,n_cells,replogle:K562_essential_normalized_bulk,replogle:K562_essential_raw_bulk,replogle:K562_essential_raw_singlecell,replogle:K562_gwps_normalized_bulk,replogle:K562_gwps_raw_bulk,replogle:K562_gwps_raw_singlecell,replogle:rpe1_normalized_bulk,replogle:rpe1_raw_bulk,replogle:rpe1_raw_singlecell,lincs:level5_beta_ctl_n58022x12328,lincs:level5_beta_ctl_n58022x12328:n_cell_lines,lincs:level5_beta_trt_xpr_n142901x12328,lincs:level5_beta_trt_xpr_n142901x12328:n_cell_lines,gmt:l1000_xpr,phase1_n_cell_lines,phase1_has_sig,phase1_has_gmt
A,TDRD7,50,False,False,False,False,False,False,False,False,False,False,0,False,0,False,,,
A,TAF4,50,False,False,False,False,False,False,False,False,False,False,0,False,0,False,,,
A,MLKL,50,False,False,False,False,False,False,False,False,False,False,0,True,10,True,10.0,True,True
A,AKIRIN1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,POLD4,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,ADNP,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,RBM26,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,UPF3B,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,SLIRP,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,ZNF514,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,REV1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,DRG2,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,TFCP2,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,ZDHHC12,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,ANKZF1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,BRPF1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,TMEM147,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,ZNF530,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,ZNF740,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,HMGXB3,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,SCAF8,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,HMGN4,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,ZNF25,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
A,CDK8,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
A,ACLY,50,False,False,False,True,True,True,False,False,False,False,0,True,19,True,19.0,True,True
A,TMF1,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
A,NFE2L1,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
A,PKN3,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
A,PLAGL2,50,False,False,False,True,True,True,False,False,False,False,0,True,9,True,9.0,True,True
A,GIGYF2,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
B,TDRD7,50,False,False,False,False,False,False,False,False,False,False,0,False,0,False,,,
B,TAF4,50,False,False,False,False,False,False,False,False,False,False,0,False,0,False,,,
B,MLKL,50,False,False,False,False,False,False,False,False,False,False,0,True,10,True,10.0,True,True
B,AKIRIN1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,POLD4,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,ADNP,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,RBM26,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,UPF3B,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,SLIRP,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,ZNF514,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,REV1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,DRG2,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,TFCP2,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,ZDHHC12,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,ANKZF1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,BRPF1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,TMEM147,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,ZNF530,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,ZNF740,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,HMGXB3,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,SCAF8,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,HMGN4,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,ZNF25,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
B,CDK8,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
B,ACLY,50,False,False,False,True,True,True,False,False,False,False,0,True,19,True,19.0,True,True
B,TMF1,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
B,NFE2L1,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
B,PKN3,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
B,PLAGL2,50,False,False,False,True,True,True,False,False,False,False,0,True,9,True,9.0,True,True
B,GIGYF2,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
C,TDRD7,50,False,False,False,False,False,False,False,False,False,False,0,False,0,False,,,
C,TAF4,50,False,False,False,False,False,False,False,False,False,False,0,False,0,False,,,
C,MLKL,50,False,False,False,False,False,False,False,False,False,False,0,True,10,True,10.0,True,True
C,AKIRIN1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,POLD4,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,ADNP,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,RBM26,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,UPF3B,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,SLIRP,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,ZNF514,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,REV1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,DRG2,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,TFCP2,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,ZDHHC12,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,ANKZF1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,BRPF1,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,TMEM147,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,ZNF530,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,ZNF740,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,HMGXB3,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,SCAF8,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,HMGN4,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,ZNF25,50,False,False,False,True,True,True,False,False,False,False,0,False,0,False,,,
C,CDK8,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
C,ACLY,50,False,False,False,True,True,True,False,False,False,False,0,True,19,True,19.0,True,True
C,TMF1,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
C,NFE2L1,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
C,PKN3,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
C,PLAGL2,50,False,False,False,True,True,True,False,False,False,False,0,True,9,True,9.0,True,True
C,GIGYF2,50,False,False,False,True,True,True,False,False,False,False,0,True,10,True,10.0,True,True
