TSPAN6	ENSG00000000003
SCYL3	ENSG00000000457
FUCA2	ENSG00000001036
BAD	ENSG00000002330
LAP3	ENSG00000002549
SNX11	ENSG00000002919
CASP10	ENSG00000003400
CFLAR	ENSG00000003402
FKBP4	ENSG00000004478
RBM6	ENSG00000004534
SLC25A13	ENSG00000004864
ST7	ENSG00000004866
UPF1	ENSG00000005007
CIAPIN1	ENSG00000005194
WDR54	ENSG00000005448
MYCBP2	ENSG00000005810
ITGAL	ENSG00000005844
TAC1	ENSG00000006128
RALA	ENSG00000006451
ETV1	ENSG00000006468
TBXA2R	ENSG00000006638
PAF1	ENSG00000006712
ELAC2	ENSG00000006744
ARSD	ENSG00000006756
MYH13	ENSG00000006788
PAFAH1B1	ENSG00000007168
KIAA0100	ENSG00000007202
TRAPPC6A	ENSG00000007255
E2F2	ENSG00000007968
PSMB1	ENSG00000008018
SYPL1	ENSG00000008282
CYB561	ENSG00000008283
RHOBTB2	ENSG00000008853
UBE3C	ENSG00000009335
TENM1	ENSG00000009694
NCAPD2	ENSG00000010292
SEMA3G	ENSG00000010319
NISCH	ENSG00000010322
BTK	ENSG00000010671
FYN	ENSG00000010810
FMO1	ENSG00000010932
MKS1	ENSG00000011143
AKAP8L	ENSG00000011243
SYT7	ENSG00000011347
BRCA1	ENSG00000012048
LTF	ENSG00000012223
UBR7	ENSG00000012963
MAP4K5	ENSG00000012983
MVP	ENSG00000013364
HEBP1	ENSG00000013583
MAMLD1	ENSG00000013619
CD6	ENSG00000013725
CAPN1	ENSG00000014216
BID	ENSG00000015475
NUDCD3	ENSG00000015676
ATP2C1	ENSG00000017260
MNAT1	ENSG00000020426
SLC7A9	ENSG00000021488
ZDHHC6	ENSG00000023041
RNH1	ENSG00000023191
ALAS1	ENSG00000023330
DERA	ENSG00000023697
TOMM34	ENSG00000025772
FAS	ENSG00000026103
CD44	ENSG00000026508
PRKCH	ENSG00000027075
SH2D2A	ENSG00000027869
TBPL1	ENSG00000028839
RABEP1	ENSG00000029725
GRN	ENSG00000030582
APBA2	ENSG00000034053
NSMAF	ENSG00000035681
TIMP2	ENSG00000035862
OTC	ENSG00000036473
RIPOR1	ENSG00000039523
RAI14	ENSG00000039560
JADE2	ENSG00000043143
EPHA3	ENSG00000044524
DSG2	ENSG00000046604
CELF2	ENSG00000048740
RFC2	ENSG00000049541
MCUR1	ENSG00000050393
MAPK9	ENSG00000050748
HERPUD1	ENSG00000051108
PIK3CB	ENSG00000051382
RRP12	ENSG00000052749
AKR7A2	ENSG00000053371
LAMA3	ENSG00000053747
TRAPPC3	ENSG00000054116
THRAP3	ENSG00000054118
ARID4B	ENSG00000054267
SYNE2	ENSG00000054654
DCBLD2	ENSG00000057019
SERPINB3	ENSG00000057149
PKP2	ENSG00000057294
ATP11B	ENSG00000058063
PPP1R12A	ENSG00000058272
ATP2B4	ENSG00000058668
TARBP1	ENSG00000059588
SLC2A3	ENSG00000059804
STYK1	ENSG00000060140
GNA15	ENSG00000060558
ACAA1	ENSG00000060971
SPAG4	ENSG00000061656
GUCY1B1	ENSG00000061918
CDH3	ENSG00000062038
DGAT2	ENSG00000062282
APPBP2	ENSG00000062725
GPC1	ENSG00000063660
LPAR2	ENSG00000064547
HMG20B	ENSG00000064961
TAF11	ENSG00000064995
AP3D1	ENSG00000065000
TRAM2	ENSG00000065308
DGKA	ENSG00000065357
ERBB3	ENSG00000065361
ADAT1	ENSG00000065457
PDIA5	ENSG00000065485
SPEN	ENSG00000065526
MYLK	ENSG00000065534
PRKCQ	ENSG00000065675
MTHFD2	ENSG00000065911
PPP2R5A	ENSG00000066027
ELAVL1	ENSG00000066044
KDM4A	ENSG00000066135
ZMYND12	ENSG00000066185
FGFR2	ENSG00000066468
ISOC1	ENSG00000066583
ATG2B	ENSG00000066739
MTFR1	ENSG00000066855
PLPP1	ENSG00000067113
PHKA1	ENSG00000067177
DHX29	ENSG00000067248
DNTTIP2	ENSG00000067334
TP53BP1	ENSG00000067369
RHOA	ENSG00000067560
IARS2	ENSG00000067704
HEATR6	ENSG00000068097
COASY	ENSG00000068120
TFE3	ENSG00000068323
FTSJ1	ENSG00000068438
NUP133	ENSG00000069248
PIGB	ENSG00000069943
GNB5	ENSG00000069966
RAB27A	ENSG00000069974
SCT	ENSG00000070031
ELP1	ENSG00000070061
NUCB2	ENSG00000070081
JMJD6	ENSG00000070495
POLB	ENSG00000070501
ST6GALNAC2	ENSG00000070731
CSNK2A2	ENSG00000070770
TCOF1	ENSG00000070814
NCK2	ENSG00000071051
MAP4K4	ENSG00000071054
SNX13	ENSG00000071189
PDCD2	ENSG00000071994
PRKACA	ENSG00000072062
ADGRL1	ENSG00000072071
EPN2	ENSG00000072134
SMC1A	ENSG00000072501
HSD17B10	ENSG00000072506
P4HA2	ENSG00000072682
NFATC3	ENSG00000072736
STK10	ENSG00000072786
MRVI1	ENSG00000072952
SCARB1	ENSG00000073060
KDM5A	ENSG00000073614
FERMT2	ENSG00000073712
CD5L	ENSG00000073754
PTGS2	ENSG00000073756
IGF2BP2	ENSG00000073792
GLI2	ENSG00000074047
EED	ENSG00000074266
BCS1L	ENSG00000074582
HACD3	ENSG00000074696
TUBE1	ENSG00000074935
TIPIN	ENSG00000075131
FOSL2	ENSG00000075426
CACNG5	ENSG00000075429
RAB7A	ENSG00000075785
ICAM3	ENSG00000076662
RAP1GAP	ENSG00000076864
STXBP2	ENSG00000076944
TM9SF3	ENSG00000077147
NFKB2	ENSG00000077150
IL4R	ENSG00000077238
USP33	ENSG00000077254
UBE2A	ENSG00000077721
FGFR1	ENSG00000077782
PIK3C3	ENSG00000078142
N4BP2	ENSG00000078177
ADCY2	ENSG00000078295
EDN1	ENSG00000078401
MLLT10	ENSG00000078403
P2RY10	ENSG00000078589
PCM1	ENSG00000078674
ITCH	ENSG00000078747
