hgnc_id	symbol	name	locus_group	locus_type	alias_symbol	prev_symbol	gene_group	gene_group_id	ensembl_gene_id
HGNC:24086	A1CF	APOBEC1 complementation factor	protein-coding gene	gene with protein product	ACF|ASP|ACF64|ACF65|APOBEC1CF		RNA binding motif containing	725	ENSG00000148584
HGNC:21298	AACS	acetoacetyl-CoA synthetase	protein-coding gene	gene with protein product	FLJ12389|SUR-5|ACSF1		Acyl-CoA synthetase family	40	ENSG00000081760
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	protein-coding gene	gene with protein product	MGC72001		Arylacetamide deacetylase family	465	ENSG00000197953
HGNC:20	AARS1	alanyl-tRNA synthetase 1	protein-coding gene	gene with protein product	CMT2N|AlaRS	AARS	Aminoacyl tRNA synthetases, Class II	132	ENSG00000090861
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	protein-coding gene	gene with protein product	TGD	ABC1|HDLDT1	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210	ENSG00000165029
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	protein-coding gene	gene with protein product	EST45597|umat|MTABC3		Blood group antigens|ATP binding cassette subfamily B	454|806	ENSG00000115657
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	protein-coding gene	gene with protein product	MRP5|SMRP|EST277145|MOAT-C		ATP binding cassette subfamily C	807	ENSG00000114770
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	protein-coding gene	gene with protein product	EST123147	ABC50	ATP binding cassette subfamily F|MicroRNA protein coding host genes	810|1691	ENSG00000204574
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	protein-coding gene	gene with protein product	EST201864		ATP binding cassette subfamily F	810	ENSG00000161204
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	protein-coding gene	gene with protein product	FLJ12816		Abhydrolase domain containing	4	ENSG00000100439
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	protein-coding gene	gene with protein product			Abhydrolase domain containing|2-arachidonoylglycerol hydrolases	4|3503	ENSG00000163686
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding gene	gene with protein product	JTK7|c-ABL|p150	ABL	SH2 domain containing|Abl family tyrosine kinases|SH3 domain containing	741|1463|4034	ENSG00000097007
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	protein-coding gene	gene with protein product	Lnc-Myd88		Acyltransferases	4120	ENSG00000060971
HGNC:319	ACAN	aggrecan	protein-coding gene	gene with protein product	CSPGCP	MSK16|CSPG1|AGC1	Hyalectan proteoglycans|V-set domain containing|Sushi domain containing|C-type lectin domain containing	574|590|1179|1298	ENSG00000157766
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	protein-coding gene	gene with protein product			Acetyl-CoA acetyltransferases	4122	ENSG00000120437
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	protein-coding gene	gene with protein product	GCP60|PAP7	GOLPH1|GOCAP1	A-kinase anchoring proteins	396	ENSG00000182827
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	protein-coding gene	gene with protein product	Ptop|Pip1|Tpp1|Tint1		Shelterin complex	1334	ENSG00000102977
HGNC:23692	ACKR3	atypical chemokine receptor 3	protein-coding gene	gene with protein product	RDC1|GPR159	CMKOR1|CXCR7	Atypical chemokine receptors	1090	ENSG00000144476
HGNC:115	ACLY	ATP citrate lyase	protein-coding gene	gene with protein product	ATPCL|CLATP|ACL		Acyltransferases	4120	ENSG00000131473
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	protein-coding gene	gene with protein product	CGI-16|MT-ACT48|ACATE2		Acyl-CoA thioesterases|Thioester hydrolases	41|4119	ENSG00000123130
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	protein-coding gene	gene with protein product	FLJ16165|PAPL1|PAPL		Acid phosphatases	1071	ENSG00000183760
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	protein-coding gene	gene with protein product	BGR|PRTD-NY3|DKFZp434K1635		Acyl-CoA synthetase family	40	ENSG00000130377
HGNC:145	ACTG2	actin gamma 2, smooth muscle	protein-coding gene	gene with protein product	ACTSG	ACTL3|ACTA3	Actins	929	ENSG00000163017
HGNC:188	ADAM10	ADAM metallopeptidase domain 10	protein-coding gene	gene with protein product	kuz|MADM|HsT18717|CD156C		ADAM metallopeptidase domain containing|CD molecules	47|471	ENSG00000137845
HGNC:19706	ADAMTSL4	ADAMTS like 4	protein-coding gene	gene with protein product	DKFZP434K1772	TSRC1	ADAMTS like|MicroRNA protein coding host genes	947|1691	ENSG00000143382
HGNC:228	ADAT1	adenosine deaminase tRNA specific 1	protein-coding gene	gene with protein product			Adenosine deaminases acting on RNA	1303	ENSG00000065457
